table,workload,threads,ops,read_frac_config,read_frac_measured,key_space,throughput_mops,p50_ns,p99_ns,p999_ns,max_ns,insert_attempts,insert_successes,remove_attempts,remove_successes,lookup_attempts,lookup_hits,wall_seconds,seed,repeat,git_sha
cuckoo_optimistic,zipfian,1,495000,0.950000,0.949592,10000000,16.846858,46,132,237,12250,12438,9707,12514,2802,470048,105159,0.029382,43,1,2014b36
cuckoo_optimistic,zipfian,2,490000,0.950000,0.949604,10000000,31.417388,45,170,276,13209,12307,9632,12387,2806,465306,103684,0.015596,43,1,2014b36
cuckoo_optimistic,zipfian,4,480000,0.950000,0.949577,10000000,53.861227,45,186,252,10750,12080,9376,12123,2745,455797,103505,0.008912,43,1,2014b36
cuckoo_optimistic,zipfian,8,460000,0.950000,0.949541,10000000,76.834743,49,357,1594,175584,11589,8975,11622,2693,436789,98187,0.005987,43,1,2014b36
cuckoo_optimistic,zipfian,16,420000,0.950000,0.949429,10000000,55.414147,47,359,56050,803250,10620,8246,10620,2536,398760,91032,0.007579,43,1,2014b36
cuckoo_striped,zipfian,1,495000,0.950000,0.949592,10000000,14.657040,45,166,735,124541,12438,9707,12514,2802,470048,105159,0.033772,43,1,2014b36
cuckoo_striped,zipfian,2,490000,0.950000,0.949604,10000000,13.804972,58,2366,6792,21500,12307,9648,12387,2817,465306,103713,0.035494,43,1,2014b36
cuckoo_striped,zipfian,4,480000,0.950000,0.949577,10000000,12.334800,85,6951,14477,74083,12080,9394,12123,2749,455797,103251,0.038914,43,1,2014b36
cuckoo_striped,zipfian,8,460000,0.950000,0.949541,10000000,6.848916,101,27451,56860,136084,11589,9019,11622,2729,436789,98791,0.067164,43,1,2014b36
cuckoo_striped,zipfian,16,420000,0.950000,0.949429,10000000,5.896685,100,60216,126285,305500,10620,8191,10620,2478,398760,91654,0.071226,43,1,2014b36
hopscotch,zipfian,1,495000,0.950000,0.949592,10000000,7.431619,45,1029,2980,3579708,12438,9707,12514,2802,470048,105159,0.066607,43,1,2014b36
hopscotch,zipfian,2,490000,0.950000,0.949604,10000000,14.944891,44,1285,5323,34375,12307,9624,12387,2797,465306,103314,0.032787,43,1,2014b36
hopscotch,zipfian,4,480000,0.950000,0.949577,10000000,20.383897,45,2263,9686,130125,12080,9420,12123,2793,455797,103616,0.023548,43,1,2014b36
hopscotch,zipfian,8,460000,0.950000,0.949541,10000000,23.720969,48,6441,30050,78791,11589,9031,11622,2737,436789,99515,0.019392,43,1,2014b36
hopscotch,zipfian,16,420000,0.950000,0.949429,10000000,22.265467,50,17370,90746,229459,10620,8233,10620,2518,398760,92667,0.018863,43,1,2014b36
chaining_coarse,trace,1,995000,0.900000,0.604441,10000000,15.437955,47,127,611,17750,355819,355819,37762,37762,601419,245601,0.064452,43,1,2014b36
chaining_coarse,trace,2,990000,0.900000,0.604243,10000000,9.800480,50,3453,16373,77750,354037,354037,37762,37762,598201,233329,0.101015,43,1,2014b36
chaining_coarse,trace,4,980000,0.900000,0.604296,10000000,4.011144,62,17653,45266,100166,350028,350028,37762,37762,592210,220876,0.244319,43,1,2014b36
chaining_coarse,trace,8,960000,0.900000,0.603430,10000000,5.541699,60,30588,88067,243292,343958,343953,36749,30017,579293,208035,0.173232,43,1,2014b36
chaining_coarse,trace,16,920000,0.900000,0.604221,10000000,6.760009,54,40330,389979,3174833,328568,328558,35549,26199,555883,193331,0.136095,43,1,2014b36
chaining_fine,trace,1,995000,0.900000,0.604441,10000000,10.807983,51,720,1287,24792,355819,355819,37762,37762,601419,245601,0.092062,43,1,2014b36
chaining_fine,trace,2,990000,0.900000,0.604243,10000000,18.212898,67,845,1186,44250,354037,354037,37762,37762,598201,233101,0.054357,43,1,2014b36
chaining_fine,trace,4,980000,0.900000,0.604296,10000000,31.603770,70,939,2719,132042,350028,350028,37762,37762,592210,220063,0.031009,43,1,2014b36
chaining_fine,trace,8,960000,0.900000,0.603430,10000000,34.305880,125,1346,2828,430167,343958,343953,36749,33302,579293,209172,0.027984,43,1,2014b36
chaining_fine,trace,16,920000,0.900000,0.604221,10000000,30.898750,330,2017,3241,3184792,328568,328558,35549,24004,555883,193634,0.029775,43,1,2014b36
cuckoo_optimistic,trace,1,995000,0.900000,0.604441,10000000,12.342559,50,577,1057,76333,355819,355819,37762,37762,601419,245601,0.080615,43,1,2014b36
cuckoo_optimistic,trace,2,990000,0.900000,0.604243,10000000,22.365763,56,252,996,16208,354037,354037,37762,37762,598201,232549,0.044264,43,1,2014b36
cuckoo_optimistic,trace,4,980000,0.900000,0.604296,10000000,32.770668,70,845,1846,20917,350028,350028,37762,37762,592210,219607,0.029905,43,1,2014b36
cuckoo_optimistic,trace,8,960000,0.900000,0.603430,10000000,34.808200,106,803,1745,29000,343958,343944,36749,4808,579293,205184,0.027580,43,1,2014b36
cuckoo_optimistic,trace,16,920000,0.900000,0.604221,10000000,29.419720,346,1427,2425,5908458,328568,328561,35549,18389,555883,189278,0.031272,43,1,2014b36
